iter	Passed	Remaining
0	1	136
1	2	123
2	3	118
3	4	108
4	5	107
5	6	106
6	7	105
7	9	103
8	10	102
9	11	100
10	12	99
11	13	98
12	14	97
13	15	95
14	16	94
15	17	93
16	18	91
17	19	90
18	21	89
19	22	88
20	23	87
21	24	86
22	25	85
23	26	83
24	27	82
25	28	81
26	29	80
27	30	79
28	31	78
29	32	76
30	34	75
31	35	74
32	36	73
33	37	72
34	38	71
35	39	70
36	40	69
37	41	68
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	53	55
49	54	54
50	55	53
51	56	51
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	41
61	66	40
62	67	39
63	68	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	80	28
74	81	27
75	82	25
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	92	16
85	93	15
86	94	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
