iter	Passed	Remaining
0	133	133120
1	134	67100
2	138	45871
3	139	34711
4	142	28268
5	143	23797
6	145	20584
7	148	18380
8	149	16469
9	150	14930
10	151	13665
11	153	12639
12	155	11768
13	157	11063
14	158	10425
15	160	9883
16	162	9380
17	165	9044
18	167	8649
19	168	8276
20	170	7939
21	171	7623
22	172	7336
23	173	7070
24	177	6917
25	178	6692
26	179	6478
27	181	6283
28	182	6099
29	183	5928
30	184	5773
31	185	5624
32	187	5483
33	188	5350
34	191	5273
35	192	5156
36	193	5047
37	195	4944
38	196	4843
39	197	4744
40	198	4651
41	200	4563
42	201	4478
43	202	4403
44	205	4367
45	207	4298
46	208	4228
47	209	4161
48	211	4101
49	212	4039
50	213	3979
51	215	3922
52	216	3868
53	217	3815
54	222	3817
55	223	3768
56	224	3719
57	226	3672
58	227	3625
59	228	3581
60	230	3541
61	231	3501
62	232	3461
63	236	3453
64	237	3422
65	239	3391
66	241	3359
67	243	3331
68	244	3298
69	245	3264
70	247	3236
71	248	3205
72	251	3197
73	253	3167
74	254	3137
75	255	3108
76	257	3081
77	258	3053
78	259	3026
79	260	2999
80	262	2974
81	263	2949
82	266	2941
83	267	2917
84	268	2894
85	270	2872
86	271	2849
87	272	2827
88	274	2807
89	275	2786
90	276	2766
91	278	2746
92	282	2752
93	283	2736
94	285	2717
95	286	2697
96	287	2678
97	289	2660
98	290	2641
99	291	2624
100	293	2609
101	296	2608
102	297	2592
103	299	2576
104	300	2559
105	301	2545
106	303	2530
107	304	2514
108	305	2498
109	307	2488
110	308	2474
111	312	2476
112	313	2464
113	315	2451
114	316	2437
115	318	2423
116	318	2407
117	320	2396
118	321	2383
119	323	2370
120	324	2357
121	325	2345
122	328	2340
123	329	2331
124	332	2325
125	333	2315
126	334	2301
127	336	2289
128	337	2279
129	340	2278
130	341	2267
131	343	2256
132	344	2245
133	345	2235
134	347	2228
135	349	2218
136	350	2207
137	351	2196
138	352	2186
139	356	2189
140	357	2179
141	358	2166
142	359	2156
143	361	2146
144	362	2136
145	363	2127
146	365	2118
147	366	2109
148	367	2100
149	371	2103
150	373	2098
151	374	2089
152	376	2084
153	378	2079
154	381	2080
155	382	2071
156	384	2062
157	385	2053
158	386	2044
159	387	2035
160	388	2024
161	389	2015
162	390	2006
163	392	1998
164	393	1990
165	396	1991
166	397	1983
167	398	1975
168	399	1966
169	401	1958
170	402	1950
171	403	1942
172	404	1935
173	406	1928
174	407	1920
175	408	1912
176	411	1914
177	412	1907
178	414	1899
179	415	1892
180	416	1885
181	417	1877
182	419	1870
183	420	1863
184	421	1855
185	422	1849
186	423	1842
187	426	1843
188	428	1837
189	429	1831
190	430	1825
191	432	1820
192	434	1815
193	435	1808
194	436	1801
195	437	1795
196	438	1788
197	442	1790
198	443	1784
199	444	1777
200	445	1771
201	446	1764
202	447	1758
203	449	1752
204	450	1746
205	451	1740
206	452	1734
207	453	1728
208	456	1729
209	458	1723
210	459	1718
211	460	1712
212	461	1706
213	462	1700
214	464	1694
215	465	1688
216	466	1683
217	467	1677
218	468	1672
219	471	1672
220	473	1667
221	474	1661
222	475	1656
223	476	1651
224	477	1645
225	478	1640
226	480	1635
227	481	1629
228	482	1625
229	484	1620
230	487	1622
231	488	1617
232	490	1613
233	491	1608
234	492	1603
235	493	1598
236	495	1594
237	497	1592
238	499	1589
239	506	1602
240	507	1599
241	512	1604
242	514	1603
243	517	1604
244	519	1601
245	521	1597
246	523	1596
247	525	1593
248	527	1589
249	528	1586
250	530	1582
251	534	1585
252	535	1582
253	537	1579
254	539	1576
255	541	1572
256	542	1569
257	544	1565
258	546	1562
259	548	1560
260	549	1556
261	552	1555
262	554	1554
263	555	1550
264	557	1545
265	558	1542
266	562	1544
267	564	1540
268	565	1537
269	567	1534
270	569	1531
271	570	1527
272	572	1523
273	573	1519
274	574	1515
275	578	1518
276	581	1516
277	582	1513
278	584	1510
279	586	1508
280	587	1504
281	589	1500
282	590	1496
283	594	1498
284	596	1495
285	597	1492
286	600	1492
287	602	1488
288	603	1484
289	605	1481
290	608	1481
291	610	1479
292	611	1476
293	613	1473
294	615	1470
295	617	1469
296	619	1465
297	620	1461
298	624	1464
299	626	1461
300	628	1458
301	629	1455
302	632	1455
303	634	1452
304	635	1448
305	639	1450
306	641	1449
307	643	1445
308	646	1445
309	647	1441
310	649	1437
311	650	1434
312	651	1431
313	655	1431
314	656	1428
315	658	1425
316	660	1423
317	662	1419
318	663	1415
319	664	1412
320	665	1408
321	669	1410
322	671	1407
323	673	1404
324	674	1401
325	677	1400
326	678	1397
327	680	1393
328	681	1389
329	683	1387
330	685	1385
331	686	1381
332	688	1378
333	689	1374
334	690	1370
335	691	1367
336	692	1363
337	694	1359
338	695	1355
339	696	1352
340	699	1351
341	700	1348
342	702	1344
343	703	1341
344	704	1338
345	706	1335
346	707	1331
347	708	1327
348	709	1324
349	710	1320
350	714	1320
351	715	1317
352	716	1313
353	717	1309
354	718	1306
355	720	1302
356	721	1299
357	722	1295
358	723	1292
359	724	1288
360	726	1285
361	729	1285
362	730	1281
363	731	1278
364	732	1274
365	734	1271
366	735	1268
367	736	1264
368	737	1261
369	738	1257
370	740	1254
371	741	1251
372	743	1250
373	745	1247
374	746	1243
375	747	1240
376	748	1236
377	749	1233
378	750	1230
379	752	1227
380	753	1223
381	754	1220
382	755	1217
383	756	1213
384	759	1213
385	761	1210
386	762	1207
387	763	1204
388	765	1201
389	766	1198
390	767	1195
391	768	1192
392	769	1189
393	771	1186
394	772	1183
395	774	1181
396	775	1178
397	776	1175
398	778	1172
399	779	1169
400	781	1166
401	782	1164
402	783	1161
403	785	1158
404	786	1155
405	789	1155
406	791	1152
407	792	1149
408	793	1146
409	795	1144
410	796	1141
411	797	1138
412	799	1135
413	800	1132
414	801	1130
415	805	1131
416	807	1128
417	809	1126
418	811	1124
419	812	1121
420	813	1119
421	815	1116
422	816	1113
423	819	1113
424	821	1111
425	822	1108
426	823	1105
427	825	1102
428	826	1099
429	827	1096
430	828	1094
431	830	1091
432	831	1088
433	834	1088
434	836	1085
435	837	1083
436	838	1080
437	840	1078
438	841	1075
439	842	1072
440	844	1070
441	845	1067
442	846	1064
443	849	1064
444	851	1062
445	852	1059
446	854	1056
447	855	1054
448	856	1051
449	858	1048
450	859	1046
451	860	1043
452	862	1041
453	865	1040
454	868	1039
455	869	1037
456	870	1034
457	872	1032
458	873	1029
459	875	1027
460	876	1024
461	879	1024
462	880	1021
463	882	1019
464	883	1016
465	884	1013
466	886	1011
467	887	1008
468	888	1006
469	889	1003
470	891	1000
471	892	998
472	896	999
473	898	996
474	899	994
475	901	992
476	903	990
477	904	987
478	905	985
479	907	982
480	910	982
481	911	979
482	912	977
483	914	974
484	915	972
485	917	969
486	918	967
487	919	964
488	920	962
489	922	960
490	925	959
491	926	957
492	928	954
493	929	952
494	931	949
495	932	947
496	933	944
497	934	942
498	936	939
499	937	937
500	940	936
501	942	934
502	943	932
503	944	929
504	945	927
505	947	924
506	948	922
507	949	919
508	951	917
509	952	915
510	955	914
511	956	912
512	958	909
513	959	907
514	960	904
515	961	902
516	963	899
517	964	897
518	965	894
519	966	892
520	967	889
521	970	888
522	971	886
523	972	883
524	974	881
525	975	878
526	976	876
527	977	874
528	978	871
529	980	869
530	981	866
531	982	864
532	983	861
533	986	861
534	988	858
535	989	856
536	990	853
537	991	851
538	992	849
539	993	846
540	995	844
541	996	842
542	997	839
543	998	837
544	1000	835
545	1001	833
546	1003	830
547	1004	828
548	1005	826
549	1007	824
550	1008	821
551	1009	819
552	1010	817
553	1012	814
554	1015	813
555	1016	811
556	1017	809
557	1018	806
558	1020	804
559	1021	802
560	1022	800
561	1023	797
562	1024	795
563	1026	793
564	1030	793
565	1031	790
566	1032	788
567	1034	786
568	1035	784
569	1037	782
570	1039	780
571	1040	778
572	1044	778
573	1045	776
574	1047	774
575	1050	773
576	1052	771
577	1057	772
578	1063	773
579	1064	771
580	1069	771
581	1072	769
582	1073	768
583	1076	766
584	1077	764
585	1079	762
586	1081	761
587	1083	759
588	1085	757
589	1089	756
590	1091	755
591	1093	753
592	1095	752
593	1106	756
594	1108	754
595	1110	752
596	1111	750
597	1113	748
598	1129	756
599	1131	754
600	1132	752
601	1136	751
602	1138	749
603	1139	747
604	1141	745
605	1143	743
606	1145	741
607	1146	739
608	1148	737
609	1151	736
610	1153	734
611	1155	732
612	1156	730
613	1158	728
614	1160	726
615	1168	728
616	1170	726
617	1172	724
618	1175	723
619	1177	721
620	1178	719
621	1182	718
622	1184	716
623	1186	714
624	1191	714
625	1201	718
626	1203	716
627	1205	713
628	1207	711
629	1208	709
630	1210	707
631	1212	705
632	1213	703
633	1215	701
634	1217	699
635	1219	697
636	1220	695
637	1224	694
638	1226	693
639	1228	691
640	1230	689
641	1234	688
642	1235	686
643	1239	685
644	1241	683
645	1242	681
646	1244	679
647	1246	677
648	1248	675
649	1249	673
650	1251	670
651	1255	670
652	1257	668
653	1261	667
654	1262	665
655	1264	663
656	1266	661
657	1267	659
658	1280	662
659	1283	661
660	1287	660
661	1289	658
662	1293	657
663	1295	655
664	1297	653
665	1298	651
666	1304	651
667	1306	649
668	1307	647
669	1309	645
670	1311	642
671	1312	640
672	1314	638
673	1318	637
674	1321	636
675	1323	634
676	1326	632
677	1328	630
678	1339	633
679	1341	631
680	1343	629
681	1347	628
682	1348	626
683	1350	623
684	1352	621
685	1354	619
686	1355	617
687	1357	615
688	1361	614
689	1363	612
690	1366	611
691	1368	609
692	1370	607
693	1374	605
694	1377	604
695	1380	602
696	1382	601
697	1384	598
698	1387	597
699	1389	595
700	1393	594
701	1394	592
702	1396	590
703	1398	587
704	1399	585
705	1401	583
706	1407	583
707	1409	581
708	1410	578
709	1412	576
